Transaction Date,Settlement Date,Apple Identifier,SKU,Title,Partner Share Currency,
05/08/2023,05/10/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,USD,
05/19/2023,05/19/2023,1261504580,UX4JSADW82SJ0,UXWeb™ Website Builder,EUR,
05/22/2023,05/22/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,BGN,
06/01/2023,06/01/2023,1261517236,UX4MRAWD49SJ0,UXWeb™ – Website Design Pro,BRL,
05/05/2023,05/13/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,CAD,
05/31/2023,06/01/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,CNY,
05/08/2023,05/08/2023,1257464541,U9826008490,UWeb.io Website Builder,EUR,
05/30/2023,05/30/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,EUR,
05/16/2023,05/17/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,EUR,
05/31/2023,05/31/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,EUR,
05/25/2023,05/25/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,EUR,
05/10/2023,05/10/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,GBP,
05/20/2023,05/21/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,GBP,
05/24/2023,05/24/2023,1257464541,U9826008490,UWeb.io Website Builder,EUR,
05/30/2023,05/30/2023,1257464541,U9826008490,UWeb.io Website Builder,INR,
05/26/2023,05/27/2023,1261504580,UX4JSADW82SJ0,UXWeb™ Website Builder,EUR,
05/28/2023,05/28/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,EUR,
05/20/2023,05/20/2023,1261517236,UX4MRAWD49SJ0,UXWeb™ – Website Design Pro,USD,
05/28/2023,05/28/2023,1257464541,U9826008490,UWeb.io Website Builder,USD,
05/27/2023,05/28/2023,1257464541,U9826008490,UWeb.io Website Builder,USD,
05/08/2023,05/08/2023,1261504580,UX4JSADW82SJ0,UXWeb™ Website Builder,MYR,
06/01/2023,06/02/2023,1261504580,UX4JSADW82SJ0,UXWeb™ Website Builder,PHP,
05/01/2023,05/11/2023,1261517236,UX4MRAWD49SJ0,UXWeb™ – Website Design Pro,SGD,
05/27/2023,05/27/2023,1257464541,U9826008490,UWeb.io Website Builder,THB,
05/15/2023,05/16/2023,1257464541,U9826008490,UWeb.io Website Builder,THB,
05/18/2023,05/18/2023,1257464541,U9826008490,UWeb.io Website Builder,USD,
05/13/2023,05/13/2023,1257464541,U9826008490,UWeb.io Website Builder,USD,
05/13/2023,05/13/2023,1261504580,UX4JSADW82SJ0,UXWeb™ Website Builder,USD,
05/23/2023,05/23/2023,1261504580,UX4JSADW82SJ0,UXWeb™ Website Builder,USD,
06/01/2023,06/01/2023,1261504580,UX4JSADW82SJ0,UXWeb™ Website Builder,USD,
05/13/2023,05/13/2023,1261517236,UX4MRAWD49SJ0,UXWeb™ – Website Design Pro,USD,
06/01/2023,06/01/2023,1261517236,UX4MRAWD49SJ0,UXWeb™ – Website Design Pro,USD,
05/20/2023,05/20/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,USD,
05/02/2023,05/12/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,USD,
05/15/2023,05/19/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,USD,
05/18/2023,05/18/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,USD,
05/15/2023,05/25/2023,1257464541,U9826008490,UWeb.io Website Builder,ZAR,
