Transaction Date,Settlement Date,Apple Identifier,SKU,Title,Amounts + Currency,,
05/08/2023,05/10/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,$4.24	USD,,
05/19/2023,05/19/2023,1261504580,UX4JSADW82SJ0,UXWeb™ Website Builder,$2.10	EUR,,
05/22/2023,05/22/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,$7.08	BGN,,
06/01/2023,06/01/2023,1261517236,UX4MRAWD49SJ0,UXWeb™ – Website Design Pro,$33.92	BRL,,
05/05/2023,05/13/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,$5.94	CAD,,
05/31/2023,06/01/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,$32.01	CNY,,
05/08/2023,05/08/2023,1257464541,U9826008490,UWeb.io Website Builder,$7.85	EUR,,
05/30/2023,05/30/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,$4.28	EUR,,
05/16/2023,05/17/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,$4.28	EUR,,
05/31/2023,05/31/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,$4.28	EUR,,
05/25/2023,05/25/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,$4.28	EUR,,
05/10/2023,05/10/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,$3.52	GBP,,
05/20/2023,05/21/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,$3.52	GBP,,
05/24/2023,05/24/2023,1257464541,U9826008490,UWeb.io Website Builder,$6.90	EUR,,
05/30/2023,05/30/2023,1257464541,U9826008490,UWeb.io Website Builder,$702.64	INR,,
05/26/2023,05/27/2023,1261504580,UX4JSADW82SJ0,UXWeb™ Website Builder,$2.07	EUR,,
05/28/2023,05/28/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,$4.14	EUR,,
05/20/2023,05/20/2023,1261517236,UX4MRAWD49SJ0,UXWeb™ – Website Design Pro,$5.94	USD,,
05/28/2023,05/28/2023,1257464541,U9826008490,UWeb.io Website Builder,-$7.08	USD,,
05/27/2023,05/28/2023,1257464541,U9826008490,UWeb.io Website Builder,$7.08	USD,,
05/08/2023,05/08/2023,1261504580,UX4JSADW82SJ0,UXWeb™ Website Builder,$11.95	MYR,,
06/01/2023,06/02/2023,1261504580,UX4JSADW82SJ0,UXWeb™ Website Builder,$152.15	PHP,,
05/01/2023,05/11/2023,1261517236,UX4MRAWD49SJ0,UXWeb™ – Website Design Pro,$7.85	SGD,,
05/27/2023,05/27/2023,1257464541,U9826008490,UWeb.io Website Builder,$237.52	THB,,
05/15/2023,05/16/2023,1257464541,U9826008490,UWeb.io Website Builder,$237.52	THB,,
05/18/2023,05/18/2023,1257464541,U9826008490,UWeb.io Website Builder,$7.64	USD,,
05/13/2023,05/13/2023,1257464541,U9826008490,UWeb.io Website Builder,$7.64	USD,,
05/13/2023,05/13/2023,1261504580,UX4JSADW82SJ0,UXWeb™ Website Builder,$2.54	USD,,
05/23/2023,05/23/2023,1261504580,UX4JSADW82SJ0,UXWeb™ Website Builder,$2.54	USD,,
06/01/2023,06/01/2023,1261504580,UX4JSADW82SJ0,UXWeb™ Website Builder,$2.54	USD,,
05/13/2023,05/13/2023,1261517236,UX4MRAWD49SJ0,UXWeb™ – Website Design Pro,$5.94	USD,,
06/01/2023,06/01/2023,1261517236,UX4MRAWD49SJ0,UXWeb™ – Website Design Pro,$5.94	USD,,
05/20/2023,05/20/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,$4.24	USD,,
05/02/2023,05/12/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,$4.24	USD,,
05/15/2023,05/19/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,$4.24	USD,,
05/18/2023,05/18/2023,6445227084,io.airtv.iap.VideoConverterPro,Video Converter Pro,$4.24	USD,,
05/15/2023,05/25/2023,1257464541,U9826008490,UWeb.io Website Builder,$147.82	ZAR,,
